name,cuisine,price,link,main_cuisine,rating,cost_for_two
Friends Zone,"Fast Food, Chinese, Pizza, Sandwich, Burger, Street Food, Tea, Beverages",300,https://www.zomato.com/gwalior/friends-zone-morar/info,Fast Food,3.3,₹300 for two people (approx.)
The Moziac,"North Indian, Chinese, South Indian, Continental, Fast Food, Biryani, Desserts, Beverages",,https://www.zomato.com/gwalior/the-moziac-city-center/info,North Indian,3.6,"₹1,200 for two people (approx.)"
Delight Hotel - Nayi Sadak,North Indian,400,https://www.zomato.com/gwalior/delight-hotel-nayi-sadak-lashkar/info,North Indian,3.2,₹400 for two people (approx.)
Velkim - Welcome Bakery,"Bakery, South Indian, Chinese, North Indian, Fast Food, Pizza, Sandwich, Desserts",500,https://www.zomato.com/gwalior/velkim-welcome-bakery-lashkar/info,Bakery,3.3,₹500 for two people (approx.)
Haldiram's Sweets and Namkeen,"Mithai, Beverages,",200,https://www.zomato.com/gwalior/haldirams-sweets-and-namkeen-shinde-ki-chhawani/info,Mithai,-,₹200 for two people (approx.)
Raj Bhoj,"North Indian, Chinese, Fast Food, Beverages",700,https://www.zomato.com/gwalior/raj-bhoj-city-center/info,North Indian,4.2,₹700 for two people (approx.)
Riceley,"Biryani, North Indian, Chinese, Mexican, Fast Food, Desserts, Korean, Italian",500,https://www.zomato.com/gwalior/riceley-city-center/info,Biryani,-,₹500 for two people (approx.)
Karishma Hotel,North Indian,200,https://www.zomato.com/gwalior/karishma-hotel-birla-nagar/info,North Indian,4,₹200 for two people (approx.)
Burger King,"Burger, Fast Food, Beverages",300,https://www.zomato.com/gwalior/burger-king-lashkar/info,Burger,-,₹300 for two people (approx.)
Volga Restaurant,"North Indian, Chinese, Mughlai, Biryani, Fast Food, Desserts, Beverages",800,https://www.zomato.com/gwalior/volga-restaurant-lashkar/info,North Indian,4.3,₹800 for two people (approx.)
Cafe Frespresso,"Cafe, Tea, Beverages, Pizza, Sandwich, Pasta, Fast Food, Desserts",750,https://www.zomato.com/gwalior/cafe-frespresso-1-city-center/info,Cafe,4.1,₹750 for two people (approx.)
ChotiWala Restaurant,"North Indian, Chinese",350,https://www.zomato.com/gwalior/chotiwala-restaurant-city-center/info,North Indian,3.9,₹350 for two people (approx.)
Indian Coffee House,"South Indian, Fast Food, Chinese, North Indian, Mughlai, Biryani, Beverages",,https://www.zomato.com/gwalior/indian-coffee-house-1-lashkar/info,South Indian,4,"₹1,000 for two people (approx.)"
The Royal Class Hotel,"North Indian, Chinese",,https://www.zomato.com/gwalior/the-royal-class-hotel-deen-dayal-nagar/info,North Indian,3.5,"₹1,000 for two people (approx.)"
Hotel Centella,"North Indian, Kebab, Chinese, Mughlai, South Indian, Fast Food, Desserts, Beverages",500,https://www.zomato.com/gwalior/hotel-centella-city-center/info,North Indian,3.6,₹500 for two people (approx.)
Barista Coffee,"Cafe, Coffee",300,https://www.zomato.com/gwalior/barista-coffee-mahalgaon/info,Cafe,-,₹300 for two people (approx.)
Anand Restaurant,"North Indian, Chinese, Pizza, Fast Food, South Indian, Mughlai, Beverages",600,https://www.zomato.com/gwalior/anand-restaurant-naya-bazaar/info,North Indian,4.4,₹600 for two people (approx.)
Avadh Foods,"North Indian, Fast Food, Biryani",100,https://www.zomato.com/gwalior/avadh-foods-lashkar/info,North Indian,3.8,₹100 for two people (approx.)
House Of Candy,Desserts,200,https://www.zomato.com/gwalior/house-of-candy-thatipur/info,Desserts,-,₹200 for two people (approx.)
The Burger Company,"Burger, Fast Food, Pizza, Momos, Beverages, Sandwich",600,https://www.zomato.com/gwalior/the-burger-company-city-center/info,Burger,3.8,₹600 for two people (approx.)
Pizza Hut,"Pizza, Fast Food, Desserts, Beverages",300,https://www.zomato.com/gwalior/pizza-hut-city-center/info,Pizza,3.8,₹300 for two people (approx.)
Stockswala Cafe,"Cafe, Coffee, Shake, Beverages, Pizza, Fast Food, Street Food, Desserts",700,https://www.zomato.com/gwalior/stockswala-cafe-city-center/info,Cafe,4.1,₹700 for two people (approx.)
Mahalaxmi Restaurant,"North Indian, Chinese",600,https://www.zomato.com/gwalior/mahalaxmi-restaurant-lashkar/info,North Indian,4.6,₹600 for two people (approx.)
Chaatizza,"Pizza, Pasta, Burger, Sandwich, Fast Food, Street Food, Desserts, Beverages",300,https://www.zomato.com/gwalior/chaatizza-1-city-center/info,Pizza,3.9,₹300 for two people (approx.)
Mughal Darbar,"North Indian, Mughlai, Chinese, Desserts, Ice Cream, Beverages",700,https://www.zomato.com/gwalior/mughal-darbar-lashkar/info,North Indian,4.1,₹700 for two people (approx.)
Hotel Shelter - The Aroma Kitchen,"North Indian, Chinese, Seafood, Beverages, Mughlai, Biryani",,https://www.zomato.com/gwalior/hotel-shelter-the-aroma-kitchen-lashkar/info,North Indian,4,"₹2,000 for two people (approx.) Without alcohol"
Shere Punjab Restaurant,"North Indian, Chinese, Fast Food",600,https://www.zomato.com/gwalior/shere-punjab-restaurant-1-lashkar/info,North Indian,4.2,₹600 for two people (approx.)
Hotel Ambience,"North Indian, Chinese, Fast Food, Shake, Biryani, Mughlai, Continental",,https://www.zomato.com/gwalior/hotel-ambience-city-center/info,North Indian,3.5,"₹1,000 for two people (approx.)"
AdrakCha,"Cafe, Coffee, Tea, Fast Food, Momos, Desserts, Beverages",350,https://www.zomato.com/gwalior/adrakcha-deen-dayal-nagar/info,Cafe,-,₹350 for two people (approx.)
VSF Foods,"Chinese, Momos, Sandwich, Burger, Fast Food",200,https://www.zomato.com/gwalior/vsf-foods-thatipur/info,Chinese,-,₹200 for two people (approx.)
Dream Arena,"Sandwich, Pizza, Fast Food, Chinese, Cafe, North Indian",600,https://www.zomato.com/gwalior/dream-arena-lashkar/info,Sandwich,4.4,₹600 for two people (approx.)
Shiv Shakti Pav Bhaji,"South Indian, Chinese, Street Food",200,https://www.zomato.com/gwalior/shiv-shakti-pav-bhaji-2-vinay-nagar/info,South Indian,3.9,₹200 for two people (approx.)
Nine Tea Nine,"Burger, Sandwich, Fast Food",350,https://www.zomato.com/gwalior/nine-tea-nine-lashkar/info,Burger,3.9,₹350 for two people (approx.)
Pizza Stop Cafe,"Pizza, Burger, Fast Food",400,https://www.zomato.com/gwalior/pizza-stop-cafe-1-lashkar/info,Pizza,3.9,₹400 for two people (approx.)
The Belgian Waffle Co.,"Waffle, Pancake, Desserts, Beverages, Ice Cream",300,https://www.zomato.com/gwalior/the-belgian-waffle-co-city-center/info,Waffle,3.2,₹300 for two people (approx.)
Alfanzo,"North Indian, Chinese, Mithai, South Indian, Pizza, Momos, Continental, Bakery",500,https://www.zomato.com/gwalior/alfanzo-city-center/info,North Indian,4.2,₹500 for two people (approx.)
Pizza Stop Cafe,"Pizza, Fast Food, Beverages",300,https://www.zomato.com/gwalior/pizza-stop-cafe-lashkar/info,Pizza,3.1,₹300 for two people (approx.)
Ashiyana Cafe,"Pizza, Chinese, Sandwich, Shake, Coffee, Beverages",200,https://www.zomato.com/gwalior/ashiyana-cafe-vinay-nagar/info,Pizza,3.5,₹200 for two people (approx.)
Bake N Shake,"Fast Food, Sandwich, Beverages, Desserts",400,https://www.zomato.com/gwalior/bake-n-shake-city-center/info,Fast Food,3.9,₹400 for two people (approx.)
Shere Punjab Maharaja Express Restaurant,"North Indian, Chinese, Desserts, Beverages",,https://www.zomato.com/gwalior/shere-punjab-maharaja-express-restaurant-lashkar/info,North Indian,3.9,"₹1,000 for two people (approx.)"
Karchi Kadhai Restaurant,"North Indian, Chinese, Mughlai, Beverages",500,https://www.zomato.com/gwalior/karchi-kadhai-restaurant-city-center/info,North Indian,2.8,₹500 for two people (approx.)
La Pino'z Pizza,"Pizza, Pasta, Italian, Fast Food",600,https://www.zomato.com/gwalior/la-pinoz-pizza-city-center/info,Pizza,3.8,₹600 for two people (approx.)
Nothing Before Coffee,"Cafe, Coffee, Tea, Shake, Beverages",400,https://www.zomato.com/gwalior/nothing-before-coffee-1-city-center/info,Cafe,-,₹400 for two people (approx.)
Landmark,"North Indian, Mughlai, Chinese, Continental, Desserts, Beverages",,https://www.zomato.com/gwalior/landmark-city-center/info,North Indian,4,"₹1,500 for two people (approx.)"
The Classic Restaurant & Banquet,"North Indian, Pizza, Sandwich, Chinese, Fast Food, Street Food, Desserts, Beverages",500,https://www.zomato.com/gwalior/the-classic-restaurant-banquet-city-center/info,North Indian,3.4,₹500 for two people (approx.)
Cake House In Gwalior,Bakery,350,https://www.zomato.com/gwalior/cake-house-in-gwalior-thatipur/info,Bakery,-,₹350 for two people (approx.)
The Blupearl Hotel,"North Indian, Chinese",,https://www.zomato.com/gwalior/the-blupearl-hotel-lohamandi/info,North Indian,-,"₹1,000 for two people (approx.)"
Burger Buddy,"Burger, Wraps, Fast Food, Beverages",300,https://www.zomato.com/gwalior/burger-buddy-city-center/info,Burger,4.2,₹300 for two people (approx.)
Parmanand Sweets,"Mithai, Street Food, Fast Food, Bakery",250,https://www.zomato.com/gwalior/parmanand-sweets-lashkar/info,Mithai,4.6,₹250 for two people (approx.)
BA Patties Wala,Street Food,150,https://www.zomato.com/gwalior/ba-patties-wala-1-morar/info,Street Food,-,₹150 for two people (approx.)
Momo Adda,"Momos, Fast Food, Beverages, Chinese",300,https://www.zomato.com/gwalior/momo-adda-lashkar/info,Momos,3.9,₹300 for two people (approx.)
SS Kachori Wala,"Street Food, Mithai",300,https://www.zomato.com/gwalior/ss-kachori-wala-naya-bazaar/info,Street Food,4.2,₹300 for two people (approx.)
Social Eatia,"North Indian, Chinese, Italian, Fast Food, Beverages, Healthy Food",,https://www.zomato.com/gwalior/social-eatia-city-center/info,North Indian,3.7,"₹1,100 for two people (approx.)"
Shriram Misthan Bhandar,"Mithai, Desserts, Street Food",200,https://www.zomato.com/gwalior/shriram-misthan-bhandar-deen-dayal-nagar/info,Mithai,3.6,₹200 for two people (approx.)
Urban Dhaba,"Cafe, Coffee, Tea, Continental, North Indian, Chinese, Fast Food, Beverages",600,https://www.zomato.com/gwalior/urban-dhaba-1-city-center/info,Cafe,3.6,₹600 for two people (approx.)
MPT Tansen Residency,"North Indian, Chinese, Seafood, Fast Food, Desserts, Beverages",700,https://www.zomato.com/gwalior/mpt-tansen-residency-birla-nagar/info,North Indian,3.6,₹700 for two people (approx.)
The Fortunaa Avenue,"North Indian, Fast Food",500,https://www.zomato.com/gwalior/the-fortunaa-avenue-city-center/info,North Indian,2.9,₹500 for two people (approx.)
Subway,"Healthy Food, Sandwich, Fast Food, Wraps, Salad, Beverages",400,https://www.zomato.com/gwalior/subway-city-center/info,Healthy Food,3.6,₹400 for two people (approx.)
ROYAL INDIAN RESTAURANT,"North Indian, Chinese, Pizza, Fast Food, Street Food, Desserts, Beverages",350,https://www.zomato.com/gwalior/royal-indian-restaurant-deen-dayal-nagar/info,North Indian,-,₹350 for two people (approx.)
The Golden Village,"North Indian, Chinese, Fast Food, Mughlai, Desserts, Beverages",700,https://www.zomato.com/gwalior/the-golden-village-lashkar/info,North Indian,4.4,₹700 for two people (approx.)
Hotel Narayanam,"North Indian, South Indian, Chinese, Mughlai, Fast Food, Desserts, Beverages, Sichuan",700,https://www.zomato.com/gwalior/hotel-narayanam-morar/info,North Indian,3.7,₹700 for two people (approx.)
Baskin Robbins - Ice Cream Desserts,"Ice Cream, Desserts, Beverages",500,https://www.zomato.com/gwalior/baskin-robbins-ice-cream-desserts-city-center/info,Ice Cream,4.7,₹500 for two people (approx.)
KFC,"Burger, Fast Food, Rolls",450,https://www.zomato.com/gwalior/kfc-birla-nagar/info,Burger,4.1,₹450 for two people (approx.)
Alice In Gelatoland Shahi Durbar,"Ice Cream, Desserts, Pancake, Waffle, Coffee, Shake",300,https://www.zomato.com/gwalior/alice-in-gelatoland-shahi-durbar-city-center/info,Ice Cream,4,₹300 for two people (approx.)
The Central Park,"Chinese, North Indian, Mughlai, Continental, Salad, Desserts, Beverages",,https://www.zomato.com/gwalior/the-central-park-city-center/info,Chinese,4,"₹1,000 for two people (approx.)"
Captain's Cafe,"Coffee, Cafe, Italian, North Indian, Chinese, Fast Food, Desserts, Beverages",600,https://www.zomato.com/gwalior/captains-cafe-city-center/info,Coffee,3.2,₹600 for two people (approx.)
Pizza Fuel Cafe - Bada Lashkar,"Pizza, Fast Food, Burger",300,https://www.zomato.com/gwalior/pizza-fuel-cafe-bada-lashkar-naya-bazaar/info,Pizza,3.9,₹300 for two people (approx.)
Bansiwala,"North Indian, Desserts",300,https://www.zomato.com/gwalior/bansiwala-city-center/info,North Indian,4,₹300 for two people (approx.)
Domino's Pizza,"Pizza, Italian, Pasta, Fast Food, Desserts",400,https://www.zomato.com/gwalior/dominos-pizza-lashkar/info,Pizza,4,₹400 for two people (approx.)
Victorian Vantage,"North Indian, Biryani, Italian, Continental, Chinese, Mughlai, Desserts, Pizza",800,https://www.zomato.com/gwalior/victorian-vantage-lashkar/info,North Indian,4.5,₹800 for two people (approx.)
The Noodles Co.,"Chinese, Thai, Healthy Food, Momos, Fast Food, Shake, Beverages",,https://www.zomato.com/gwalior/the-noodles-co-gulmohar-city/info,Chinese,3.4,"₹1,200 for two people (approx.)"
Sweet Sins Shakes & Desserts,"Beverages, Street Food, Fast Food, Waffle, North Indian",400,https://www.zomato.com/gwalior/sweet-sins-shakes-desserts-city-center/info,Beverages,4.3,₹400 for two people (approx.)
Maddy’s Cafe,"Cafe, Italian, Chinese, Sandwich, Rolls, Desserts, Shake, Beverages",700,https://www.zomato.com/gwalior/maddys-cafe-city-center/info,Cafe,3.9,₹700 for two people (approx.)
Moti Mahal Delux,"North Indian, Mughlai, Chinese, Seafood, Biryani",,https://www.zomato.com/gwalior/moti-mahal-delux-city-center/info,North Indian,3.5,"₹1,000 for two people (approx.)"
Udupi's Kitchen,"South Indian, Biryani, Tea, Beverages",250,https://www.zomato.com/gwalior/udupis-kitchen-city-center/info,South Indian,2.9,₹250 for two people (approx.)
WOW! Momo,"Momos, Chinese, Fast Food, Asian, Beverages",250,https://www.zomato.com/gwalior/wow-momo-city-center/info,Momos,3.7,₹250 for two people (approx.)
Delhi Paranthe Wale,North Indian,400,https://www.zomato.com/gwalior/delhi-paranthe-wale-naya-bazaar/info,North Indian,3.8,₹400 for two people (approx.)
Cakes & More Restaurant,"Bakery, Sandwich, Fast Food, Chinese, North Indian, Street Food, Desserts, Beverages",400,https://www.zomato.com/gwalior/cakes-more-restaurant-lashkar/info,Bakery,3.8,₹400 for two people (approx.)
Hangout Cafe,"Cafe, North Indian, Fast Food, Italian, Chinese, Pasta, Desserts, Beverages",800,https://www.zomato.com/gwalior/hangout-cafe-city-center/info,Cafe,4.2,₹800 for two people (approx.)
Swaad The Taste,"North Indian, Chinese, Fast Food, South Indian, Street Food, Desserts, Beverages",500,https://www.zomato.com/gwalior/swaad-the-taste-morar/info,North Indian,4,₹500 for two people (approx.)
Gurukripa Family Restaurant,"North Indian, South Indian, Chinese, Fast Food",500,https://www.zomato.com/gwalior/gurukripa-family-restaurant-lashkar/info,North Indian,3.9,₹500 for two people (approx.)
Shri Ram Paties Corner,"Fast Food, Sandwich, Beverages",250,https://www.zomato.com/gwalior/shri-ram-paties-corner-lashkar/info,Fast Food,3.7,₹250 for two people (approx.)
Apsara Happy Hours,"North Indian, Chinese, Fast Food, Beverages",700,https://www.zomato.com/gwalior/apsara-happy-hours-shinde-ki-chhawani/info,North Indian,4.1,₹700 for two people (approx.)
Shere Punjab Restaurant & Cafe,"North Indian, Chinese, Fast Food, Cafe, South Indian",400,https://www.zomato.com/gwalior/shere-punjab-restaurant-cafe-city-center/info,North Indian,3.5,₹400 for two people (approx.)
House Of K,"Biryani, Mughlai, North Indian, Rolls, Fast Food, Kebab",,https://www.zomato.com/gwalior/house-of-k-city-center/info,Biryani,4.2,"₹1,000 for two people (approx.)"
FNP Cakes N More,"Bakery, Desserts, Beverages, Cake",300,https://www.zomato.com/gwalior/fnp-cakes-n-more-city-center/info,Bakery,3.4,₹300 for two people (approx.)
Pizza & Burger Hub,"Pizza, Burger, Fast Food, Beverages",350,https://www.zomato.com/gwalior/pizza-burger-hub-lashkar/info,Pizza,3.7,₹350 for two people (approx.)
Shri Ram Sweets And Snacks,Street Food,100,https://www.zomato.com/gwalior/shri-ram-sweets-and-snacks-city-center/info,Street Food,4.1,₹100 for two people (approx.)
The Royal Punjab,"North Indian, South Indian, Chinese, Fast Food, Beverages",700,https://www.zomato.com/gwalior/the-royal-punjab-city-center/info,North Indian,3,₹700 for two people (approx.)
Bantu Dhaba And Family Restaurant,North Indian,300,https://www.zomato.com/gwalior/bantu-dhaba-and-family-restaurant-deen-dayal-nagar/info,North Indian,3.4,₹300 for two people (approx.)
Rajasthani Bhojanalaya,"Rajasthani, North Indian",250,https://www.zomato.com/gwalior/rajasthani-bhojanalaya-lashkar/info,Rajasthani,3.4,₹250 for two people (approx.)
Cook's Fast Food & Bakery,"Bakery, Pizza, Burger, Fast Food, Chinese, North Indian, Sandwich, Beverages",500,https://www.zomato.com/gwalior/cooks-fast-food-bakery-lashkar/info,Bakery,3.8,₹500 for two people (approx.)
Happiness,"North Indian, South Indian, Chinese, Street Food, Fast Food, Beverages",400,https://www.zomato.com/gwalior/happiness-lashkar/info,North Indian,4,₹400 for two people (approx.)
The Mansingh,"North Indian, Mughlai, Biryani, Beverages, Desserts",,https://www.zomato.com/gwalior/the-mansingh-lashkar/info,North Indian,4.1,"₹1,000 for two people (approx.)"
CloudX Cafe,"Cafe, Coffee, Tea, Shake, Beverages, Chinese, Fast Food, Pizza",400,https://www.zomato.com/gwalior/cloudx-cafe-8-city-center/info,Cafe,-,₹400 for two people (approx.)
Ashok Hotel,North Indian,250,https://www.zomato.com/gwalior/ashok-hotel-1-lashkar/info,North Indian,3.7,₹250 for two people (approx.)
Raj Restaurant,"North Indian, Biryani, Mughlai",400,https://www.zomato.com/gwalior/raj-restaurant-lashkar/info,North Indian,4,₹400 for two people (approx.)
Hotel Gold Inn,"North Indian, Chinese, Mughlai, Street Food, Sandwich, Fast Food, Beverages, Kebab",,https://www.zomato.com/gwalior/hotel-gold-inn-lashkar/info,North Indian,-,"₹1,000 for two people (approx.)"
Masala Darbar,"North Indian, Chinese",350,https://www.zomato.com/gwalior/masala-darbar-naya-bazaar/info,North Indian,4.2,₹350 for two people (approx.)
Winni Cakes And More,"Bakery, Desserts, Fast Food, Pizza, Rolls",250,https://www.zomato.com/gwalior/winni-cakes-and-more-city-center/info,Bakery,3.6,₹250 for two people (approx.)
Hotel Mahima,"North Indian, Chinese, Mughlai, Fast Food, Finger Food, Beverages",700,https://www.zomato.com/gwalior/hotel-mahima-city-center/info,North Indian,4,₹700 for two people (approx.) Without alcohol
Shake It Baby,"Beverages, Fast Food, Desserts, Coffee, Burger, Sandwich, Shake, Waffle",300,https://www.zomato.com/gwalior/shake-it-baby-city-center/info,Beverages,4.3,₹300 for two people (approx.)
Punjabi Rasoi,"North Indian, Chinese, Beverages, Street Food",300,https://www.zomato.com/gwalior/punjabi-rasoi-city-center/info,North Indian,4.3,₹300 for two people (approx.)
Chicken Station,North Indian,400,https://www.zomato.com/chicken-station-food-truck/info,North Indian,3.9,₹400 for two people (approx.)
Hype Air Bar & Kitchen,"Bar Food, North Indian, Mughlai, Seafood, Kebab, Chinese, Fast Food",,https://www.zomato.com/gwalior/hype-air-bar-kitchen-city-center/info,Bar Food,-,"₹1,100 for two people (approx.) with alcohol"
Radha Ki Rasoi,"North Indian, Street Food, Burger, South Indian, Chinese, Beverages",400,https://www.zomato.com/gwalior/radha-ki-rasoi-city-center/info,North Indian,4.3,₹400 for two people (approx.)
Parth Juice Cafe Centre,"Beverages, Pizza, Sandwich, Chinese, Fast Food, Ice Cream, Desserts, Burger",300,https://www.zomato.com/gwalior/parth-juice-cafe-centre-morar/info,Beverages,4,₹300 for two people (approx.)
Twisted Toppings Pizza,"Pizza, Burger, Sandwich",250,https://www.zomato.com/gwalior/twisted-toppings-pizza-deen-dayal-nagar/info,Pizza,4.1,₹250 for two people (approx.)
Nainital's Testie Basket,"Fast Food, Biryani, Ice Cream",200,https://www.zomato.com/gwalior/nainitals-testie-basket-thatipur/info,Fast Food,3.4,₹200 for two people (approx.)
Vadilal Hangout,"Ice Cream, Desserts, Shake",200,https://www.zomato.com/gwalior/vadilal-hangout-birla-nagar/info,Ice Cream,3.2,₹200 for two people (approx.)
Khana Khajana Family Restaurant,"North Indian, Chinese, Mughlai, Fast Food",550,https://www.zomato.com/gwalior/khana-khajana-family-restaurant-lashkar/info,North Indian,3.8,₹550 for two people (approx.)
The Star Roof Cafe,"Fast Food, Pizza, Sandwich, Street Food, Chinese, Beverages, Shake",400,https://www.zomato.com/gwalior/the-star-roof-cafe-city-center/info,Fast Food,3.2,₹400 for two people (approx.)
Boxo Burger,"Burger, Pizza, Sandwich, Fast Food, Beverages",400,https://www.zomato.com/gwalior/boxo-burger-city-center/info,Burger,3.8,₹400 for two people (approx.)
Hotel Sai Kripa,"North Indian, Chinese, South Indian, Desserts, Beverages",,https://www.zomato.com/gwalior/hotel-sai-kripa-deen-dayal-nagar/info,North Indian,-,"₹1,000 for two people (approx.)"
Burger Budds,"Burger, Wraps, Sandwich, Fast Food, Momos, Street Food, Shake, Beverages",200,https://www.zomato.com/gwalior/burger-budds-birla-nagar/info,Burger,4.1,₹200 for two people (approx.)
Cosmo Cafe,"Pizza, Chinese, North Indian, Fast Food, Shake, Beverages",600,https://www.zomato.com/gwalior/cosmo-cafe-city-center/info,Pizza,-,₹600 for two people (approx.)
WOW! China,"Chinese, Asian, Fast Food, Beverages, Snacks",300,https://www.zomato.com/gwalior/wow-china-city-center/info,Chinese,3.7,₹300 for two people (approx.)
Ashoka Family Restaurant,North Indian,300,https://www.zomato.com/gwalior/ashoka-family-restaurant-thatipur/info,North Indian,4,₹300 for two people (approx.)
Burger Bytes,"Burger, Wraps, Pizza, Sandwich, Fast Food, Momos, Street Food, Shake",300,https://www.zomato.com/gwalior/burger-bytes-naya-bazaar/info,Burger,-,₹300 for two people (approx.)
Punjabi Food Factory,"North Indian, Rolls, Biryani",400,https://www.zomato.com/gwalior/punjabi-food-factory-lashkar/info,North Indian,3.8,₹400 for two people (approx.)
Hotel Sudarshan,"North Indian, Chinese, South Indian, Fast Food, Mughlai, Biryani, Desserts",550,https://www.zomato.com/gwalior/hotel-sudarshan-lashkar/info,North Indian,4.5,₹550 for two people (approx.)
Food Mafia,"Chinese, Fast Food, Rolls, Pizza, Sandwich, Shake, Beverages",400,https://www.zomato.com/gwalior/food-mafia-lashkar/info,Chinese,3.8,₹400 for two people (approx.)
Lub Lub - World Of Shawarmas,"Shawarma, Lebanese, Mediterranean, Burger",550,https://www.zomato.com/gwalior/lub-lub-world-of-shawarmas-city-center/info,Shawarma,3.8,₹550 for two people (approx.)
Bapu Di Rasoi,"North Indian, Chinese, Fast Food, Desserts, Beverages",400,https://www.zomato.com/gwalior/bapu-di-rasoi-2-city-center/info,North Indian,4.1,₹400 for two people (approx.)
Basil & Bites Woodfired Pizzeria,"Pizza, Italian",400,https://www.zomato.com/gwalior/basil-bites-woodfired-pizzeria-city-center/info,Pizza,-,₹400 for two people (approx.)
Anna Masala Dosa,"South Indian, Fast Food",200,https://www.zomato.com/gwalior/anna-masala-dosa-thatipur/info,South Indian,3.9,₹200 for two people (approx.)
Jiwaji Club - The Club's Kitchen,"Chinese, Fast Food, Street Food, North Indian, Mughlai, Beverages",400,https://www.zomato.com/gwalior/jiwaji-club-the-clubs-kitchen-lashkar/info,Chinese,3.7,₹400 for two people (approx.)
The Ved Mantra,"North Indian, Continental, Fast Food",900,https://www.zomato.com/gwalior/the-ved-mantra-lashkar/info,North Indian,3.6,₹900 for two people (approx.)
Rolls Mania,"Rolls, North Indian, Fast Food, Street Food, Beverages",400,https://www.zomato.com/gwalior/rolls-mania-city-center/info,Rolls,3.8,₹400 for two people (approx.)
Saapadam,"South Indian, Street Food, Beverages",250,https://www.zomato.com/gwalior/saapadam-city-center/info,South Indian,3.1,₹250 for two people (approx.)
