name,rating,cost_for_two
Poonam Sweet And Snacks,-,₹100 for two people (approx.)
Dai Chinese Corner,-,₹300 for two people (approx.)
Uncle Ka Panjabi Tadka,-,₹300 for two people (approx.)
Seth Ji Ka Dhaba And Family Restaurant,-,₹400 for two people (approx.)
The Golden Cafee,-,₹350 for two people (approx.)
Where's The Food,-,₹300 for two people (approx.)
Neel Shri Food Point,-,₹350 for two people (approx.)
Shri Hari Cafe And Restaurant,-,₹350 for two people (approx.)
Mannat Cafe And Family Restaurant,-,₹300 for two people (approx.)
Roll S Mama,-,₹300 for two people (approx.)
Mayur Family Restaurant,-,₹200 for two people (approx.)
Mangalam Inn Restaurant,-,"₹1,000 for two people (approx.)"
Art Of Momo,-,₹150 for two people (approx.)
The Pakhras Waffles,-,₹300 for two people (approx.)
Cafe TCFC,-,₹600 for two people (approx.)
Punjabi Royal Food,-,₹250 for two people (approx.)
The Lazy Pizza,-,₹300 for two people (approx.)
Love Tea Cafe,-,₹300 for two people (approx.)
Hotel Raj Mohan Palace,-,₹600 for two people (approx.)
Raja Ice Cream Parlour,-,₹350 for two people (approx.)
Nirmal Restaurant,-,₹300 for two people (approx.)
Food Costa,-,₹350 for two people (approx.)
Mom's Cafe & Restaurant,-,₹450 for two people (approx.)
The Brown Cafe,-,₹300 for two people (approx.)
Rajwadi Taste Of Rajasthan,-,₹400 for two people (approx.)
Pizza Hot Cafe,-,₹150 for two people (approx.)
Biriyani 07,-,₹200 for two people (approx.)
Ashok Dhaba,-,₹350 for two people (approx.)
The Twilight Cafe,-,₹200 for two people (approx.)
# D12 Cafe & Restaurant,-,₹300 for two people (approx.)
Apna Family Restaurant,-,₹400 for two people (approx.)
Kukduu Kuuu ...,-,₹450 for two people (approx.)
Level 3 Bar & Restaurant,-,"₹1,000 for two people (approx.) with alcohol"
Jai Dandraua Bhojanalya & Family Restaurant,-,₹200 for two people (approx.)
Smile HL Fast Food Corner,-,₹400 for two people (approx.)
Shriram's Food Court,-,₹400 for two people (approx.)
Baking Cart,-,₹500 for two people (approx.)
Om Sai Bhojnalay,-,₹250 for two people (approx.)
Neel Shree Family Restaurant,-,₹500 for two people (approx.)
Kullad Tea Cafe,-,₹250 for two people (approx.)
Maxsun Hotel & Banquet,-,"₹1,000 for two people (approx.)"
The Central Park Bakery,-,₹150 for two people (approx.)
Cafe Romyanic,-,₹250 for two people (approx.)
Jalsa Club & Restaurant,-,"₹1,200 for two people (approx.) with alcohol"
Comesum Food Plaza,-,₹300 for two people (approx.)
Tik-Tok Fast Food Restaurant And Bakery,-,₹300 for two people (approx.)
Urban Tadka Restaurant,-,₹200 for two people (approx.)
New Ashok Restaurant,-,₹300 for two people (approx.)
Shukla Family Restaurant,-,₹250 for two people (approx.)
Burger Bud,-,₹250 for two people (approx.)
Eat & Bite Cafe & Restro,-,₹300 for two people (approx.)
Simpsonss Pizza,-,₹300 for two people (approx.)
Jai Mata Di Tiffin Centre,-,₹150 for two people (approx.)
Agrawal Restaurant,-,₹200 for two people (approx.)
Yummy Sandwich,-,₹350 for two people (approx.)
Shri Ram Krishan Misthan Bhandaar,-,₹150 for two people (approx.)
Shan E Agra Restaurant,-,₹400 for two people (approx.)
Shri Ram's Food Court,-,₹300 for two people (approx.)
Jai Maa Kali Restaurant And Cafe,-,₹300 for two people (approx.)
Tasty-Town,-,₹300 for two people (approx.)
The Tea Bar Cafe,-,₹250 for two people (approx.)
Tandoori Chai Wala,-,₹300 for two people (approx.)
Top N Town Ice Cream Sky Cafe,-,₹100 for two people (approx.)
Shri Ram Sweets And Bakery,-,₹300 for two people (approx.)
The Happyness Cafe,-,₹200 for two people (approx.)
Where's The Fork Express,-,₹300 for two people (approx.)
Shere Punjab,-,₹300 for two people (approx.)
Roll La Costa,-,₹200 for two people (approx.)
Bru & Bite Cafe,-,₹200 for two people (approx.)
Momo Mafia,-,₹350 for two people (approx.)
Foodiestan,-,₹450 for two people (approx.)
