name,cuisine,price,link
Hotel Ambience,"North Indian, Chinese, Fast Food, Shake, Biryani, Mughlai, Continental","₹1,000 for two",https://www.zomato.com/gwalior/hotel-ambience-city-center/info
,,,https://www.zomato.com/gwalior/adrakcha-deen-dayal-nagar/info
AdrakCha,"Cafe, Coffee, Tea, Fast Food, Momos, Desserts, Beverages",₹350 for two,https://www.zomato.com/gwalior/adrakcha-deen-dayal-nagar/info
,,,https://www.zomato.com/gwalior/vsf-foods-thatipur/info
VSF Foods,"Chinese, Momos, Sandwich, Burger, Fast Food",₹200 for two,https://www.zomato.com/gwalior/vsf-foods-thatipur/info
,,,https://www.zomato.com/gwalior/dream-arena-lashkar/info
Dream Arena,"Sandwich, Pizza, Fast Food, Chinese, Cafe, North Indian",₹600 for two,https://www.zomato.com/gwalior/dream-arena-lashkar/info
,,,https://www.zomato.com/gwalior/shiv-shakti-pav-bhaji-2-vinay-nagar/info
Shiv Shakti Pav Bhaji,"South Indian, Chinese, Street Food",₹200 for two,https://www.zomato.com/gwalior/shiv-shakti-pav-bhaji-2-vinay-nagar/info
,,,https://www.zomato.com/gwalior/nine-tea-nine-lashkar/info
Nine Tea Nine,"Burger, Sandwich, Fast Food",₹350 for two,https://www.zomato.com/gwalior/nine-tea-nine-lashkar/info
,,,https://www.zomato.com/gwalior/pizza-stop-cafe-1-lashkar/info
Pizza Stop Cafe,"Pizza, Burger, Fast Food",₹400 for two,https://www.zomato.com/gwalior/pizza-stop-cafe-1-lashkar/info
,,,https://www.zomato.com/gwalior/the-belgian-waffle-co-city-center/info
The Belgian Waffle Co.,"Waffle, Pancake, Desserts, Beverages, Ice Cream",₹300 for two,https://www.zomato.com/gwalior/the-belgian-waffle-co-city-center/info
,,,https://www.zomato.com/gwalior/alfanzo-city-center/info
Alfanzo,"North Indian, Chinese, Mithai, South Indian, Pizza, Momos, Continental, Bakery",₹500 for two,https://www.zomato.com/gwalior/alfanzo-city-center/info
,,,https://www.zomato.com/gwalior/pizza-stop-cafe-lashkar/info
Pizza Stop Cafe,"Pizza, Fast Food, Beverages",₹300 for two,https://www.zomato.com/gwalior/pizza-stop-cafe-lashkar/info
,,,https://www.zomato.com/gwalior/ashiyana-cafe-vinay-nagar/info
Ashiyana Cafe,"Pizza, Chinese, Sandwich, Shake, Coffee, Beverages",₹200 for two,https://www.zomato.com/gwalior/ashiyana-cafe-vinay-nagar/info
,,,https://www.zomato.com/gwalior/bake-n-shake-city-center/info
Bake N Shake,"Fast Food, Sandwich, Beverages, Desserts",₹400 for two,https://www.zomato.com/gwalior/bake-n-shake-city-center/info
,,,https://www.zomato.com/gwalior/shere-punjab-maharaja-express-restaurant-lashkar/info
Shere Punjab Maharaja Express Restaurant,"North Indian, Chinese, Desserts, Beverages","₹1,000 for two",https://www.zomato.com/gwalior/shere-punjab-maharaja-express-restaurant-lashkar/info
,,,https://www.zomato.com/gwalior/karchi-kadhai-restaurant-city-center/info
Karchi Kadhai Restaurant,"North Indian, Chinese, Mughlai, Beverages",₹500 for two,https://www.zomato.com/gwalior/karchi-kadhai-restaurant-city-center/info
,,,https://www.zomato.com/gwalior/la-pinoz-pizza-city-center/info
La Pino'z Pizza,"Pizza, Pasta, Italian, Fast Food",₹600 for two,https://www.zomato.com/gwalior/la-pinoz-pizza-city-center/info
,,,https://www.zomato.com/gwalior/nothing-before-coffee-1-city-center/info
Nothing Before Coffee,"Cafe, Coffee, Tea, Shake, Beverages",₹400 for two,https://www.zomato.com/gwalior/nothing-before-coffee-1-city-center/info
,,,https://www.zomato.com/gwalior/landmark-city-center/info
Landmark,"North Indian, Mughlai, Chinese, Continental, Desserts, Beverages","₹1,500 for two",https://www.zomato.com/gwalior/landmark-city-center/info
,,,https://www.zomato.com/gwalior/the-classic-restaurant-banquet-city-center/info
The Classic Restaurant & Banquet,"North Indian, Pizza, Sandwich, Chinese, Fast Food, Street Food, Desserts, Beverages",₹500 for two,https://www.zomato.com/gwalior/the-classic-restaurant-banquet-city-center/info
,,,https://www.zomato.com/gwalior/cake-house-in-gwalior-thatipur/info
Cake House In Gwalior,Bakery,₹350 for two,https://www.zomato.com/gwalior/cake-house-in-gwalior-thatipur/info
,,,https://www.zomato.com/gwalior/the-blupearl-hotel-lohamandi/info
The Blupearl Hotel,"North Indian, Chinese","₹1,000 for two",https://www.zomato.com/gwalior/the-blupearl-hotel-lohamandi/info
,,,https://www.zomato.com/gwalior/burger-buddy-city-center/info
Burger Buddy,"Burger, Wraps, Fast Food, Beverages",₹300 for two,https://www.zomato.com/gwalior/burger-buddy-city-center/info
,,,https://www.zomato.com/gwalior/parmanand-sweets-lashkar/info
Parmanand Sweets,"Mithai, Street Food, Fast Food, Bakery",₹250 for two,https://www.zomato.com/gwalior/parmanand-sweets-lashkar/info
,,,https://www.zomato.com/gwalior/ba-patties-wala-1-morar/info
BA Patties Wala,Street Food,₹150 for two,https://www.zomato.com/gwalior/ba-patties-wala-1-morar/info
,,,https://www.zomato.com/gwalior/momo-adda-lashkar/info
Momo Adda,"Momos, Fast Food, Beverages, Chinese",₹300 for two,https://www.zomato.com/gwalior/momo-adda-lashkar/info
,,,https://www.zomato.com/gwalior/ss-kachori-wala-naya-bazaar/info
SS Kachori Wala,"Street Food, Mithai",₹300 for two,https://www.zomato.com/gwalior/ss-kachori-wala-naya-bazaar/info
,,,https://www.zomato.com/gwalior/social-eatia-city-center/info
Social Eatia,"North Indian, Chinese, Italian, Fast Food, Beverages, Healthy Food","₹1,100 for two",https://www.zomato.com/gwalior/social-eatia-city-center/info
,,,https://www.zomato.com/gwalior/shriram-misthan-bhandar-deen-dayal-nagar/info
Shriram Misthan Bhandar,"Mithai, Desserts, Street Food",₹200 for two,https://www.zomato.com/gwalior/shriram-misthan-bhandar-deen-dayal-nagar/info
,,,https://www.zomato.com/gwalior/urban-dhaba-1-city-center/info
Urban Dhaba,"Cafe, Coffee, Tea, Continental, North Indian, Chinese, Fast Food, Beverages",₹600 for two,https://www.zomato.com/gwalior/urban-dhaba-1-city-center/info
,,,https://www.zomato.com/gwalior/mpt-tansen-residency-birla-nagar/info
MPT Tansen Residency,"North Indian, Chinese, Seafood, Fast Food, Desserts, Beverages",₹700 for two,https://www.zomato.com/gwalior/mpt-tansen-residency-birla-nagar/info
,,,https://www.zomato.com/gwalior/the-fortunaa-avenue-city-center/info
