name,cuisine,link,main_cuisine,rating,cost
Bhakti Bhojnalaya & Family Restaurant,North Indian,https://www.zomato.com/gwalior/bhakti-bhojnalaya-family-restaurant-deen-dayal-nagar/info,North Indian,3.3,350
S And V,"Chinese, Pizza, Sandwich, Fast Food, Street Food, Beverages",https://www.zomato.com/gwalior/s-and-v-lashkar/info,Chinese,3.4,400
Lazeez Cafe & Restro,"North Indian, Chinese",https://www.zomato.com/gwalior/lazeez-cafe-restro-lashkar/info,North Indian,3.0,650
The Kings Inn,"North Indian, Chinese",https://www.zomato.com/gwalior/the-kings-inn-vinay-nagar/info,North Indian,3.3,300
La' Atmos,"Pasta, Fast Food, Pizza, Sandwich, Shake, Beverages, Desserts",https://www.zomato.com/gwalior/la-atmos-city-center/info,Pasta,3.0,700
Silver Spoon Restaurant,"North Indian, Chinese, Fast Food",https://www.zomato.com/gwalior/silver-spoon-restaurant-city-center/info,North Indian,,300
Shree Jodhana Misthan Bhandaar,"Mithai, Street Food",https://www.zomato.com/gwalior/shree-jodhana-misthan-bhandaar-lashkar/info,Mithai,,200
Bhog Raj Namkeen,Fast Food,https://www.zomato.com/gwalior/bhog-raj-namkeen-anand-nagar/info,Fast Food,3.3,250
Vital Restaurant,"Biryani, North Indian",https://www.zomato.com/gwalior/vital-restaurant-birla-nagar/info,Biryani,3.2,350
Ajanta Restaurant,"North Indian, Mughlai",https://www.zomato.com/gwalior/ajanta-restaurant-city-center/info,North Indian,2.7,500
The Taste Of Chambal,"Fast Food, Chinese, North Indian, Shake, Beverages",https://www.zomato.com/gwalior/the-taste-of-chambal-2-vinay-nagar/info,Fast Food,3.2,400
Punjab Da Tadka,"Chinese, Kebab",https://www.zomato.com/gwalior/punjab-da-tadka-mahalgaon/info,Chinese,3.2,300
Choice Fast Food,"North Indian, Fast Food, Chinese, South Indian",https://www.zomato.com/gwalior/choice-fast-food-lashkar/info,North Indian,3.6,300
Spicy Indian Cafe & Restaurant,"North Indian, Chinese, Fast Food",https://www.zomato.com/gwalior/spicy-indian-cafe-restaurant-naya-bazaar/info,North Indian,3.3,400
Devki Grand,"North Indian, Biryani, Chinese, Kebab, Fast Food, Street Food, Sandwich",https://www.zomato.com/gwalior/devki-grand-2-gulmohar-city/info,North Indian,,1000
Fukrey Back Bencher,"South Indian, Pizza, Sandwich, Fast Food, Street Food, Chinese, Shake, Beverages",https://www.zomato.com/gwalior/fukrey-back-bencher-morar/info,South Indian,3.3,200
Maharaja Restaurant Veg & Non Veg,"North Indian, Mughlai, Biryani",https://www.zomato.com/gwalior/maharaja-restaurant-veg-non-veg-deen-dayal-nagar/info,North Indian,,400
Shri Ram Bhojalaya - Pinku Da Dhaba,North Indian,https://www.zomato.com/gwalior/shri-ram-bhojalaya-pinku-da-dhaba-deen-dayal-nagar/info,North Indian,3.1,250
The Sandwich Hub,"Sandwich, Rolls, Fast Food, Beverages",https://www.zomato.com/gwalior/the-sandwich-hub-shinde-ki-chhawani/info,Sandwich,3.3,350
Jodhpur Wala Restaurant,"Street Food, Fast Food, Chinese, North Indian, Pizza, Shake, South Indian",https://www.zomato.com/gwalior/jodhpur-wala-restaurant-morar/info,Street Food,2.9,400
Agrawal Family Restaurant,"North Indian, Chinese, Mughlai, Fast Food, Street Food, South Indian, Desserts, Beverages",https://www.zomato.com/gwalior/agrawal-family-restaurant-lashkar/info,North Indian,3.3,400
Asgardian The Party World,"Fast Food, Chinese",https://www.zomato.com/gwalior/asgardian-the-party-world-vinay-nagar/info,Fast Food,3.4,200
Sohan Dairy and Sweets,Mithai,https://www.zomato.com/gwalior/sohan-dairy-and-sweets-lashkar/info,Mithai,,500
Swastik Restaurant,"North Indian, Chinese, Desserts, Beverages",https://www.zomato.com/gwalior/swastik-restaurant-shinde-ki-chhawani/info,North Indian,2.7,500
Ambika Hotel,"North Indian, Rolls",https://www.zomato.com/gwalior/ambika-hotel-thatipur/info,North Indian,3.4,400
Blueberry Restaurant,"North Indian, South Indian, Chinese, Fast Food, Street Food, Desserts",https://www.zomato.com/gwalior/blueberry-restaurant-morar/info,North Indian,3.6,500
Punjab Di Kitchen,"North Indian, South Indian, Chinese, Fast Food",https://www.zomato.com/gwalior/punjab-di-kitchen-lashkar/info,North Indian,2.9,300
Arora's Cafe & Restro,"North Indian, Fast Food, Chinese, Beverages",https://www.zomato.com/gwalior/aroras-cafe-restro-thatipur/info,North Indian,2.8,300
Gurukirpa Restaurant,North Indian,https://www.zomato.com/gwalior/gurukirpa-restaurant-thatipur/info,North Indian,2.9,400
Cute Couple Cafe,"Chinese, Fast Food, Street Food, Beverages, Shake",https://www.zomato.com/gwalior/cute-couple-cafe-morar/info,Chinese,,300
Pizza Crunchy Cafe Burger,"Pizza, Fast Food",https://www.zomato.com/gwalior/pizza-crunchy-cafe-burger-3-prasad-nagar/info,Pizza,3.3,300
Food Zo,"Fast Food, Chinese, Sandwich, Momos, Beverages",https://www.zomato.com/gwalior/food-zo-naya-bazaar/info,Fast Food,3.2,250
Bikanervala,"Mithai, North Indian, South Indian, Street Food, Fast Food, Juices, Beverages",https://www.zomato.com/gwalior/bikanervala-city-center/info,Mithai,3.3,500
Pizza Central,Pizza,https://www.zomato.com/gwalior/pizza-central-morar/info,Pizza,3.2,300
845 Caffetrow,"Chinese, Fast Food, Street Food, Beverages",https://www.zomato.com/gwalior/845-caffetrow-city-center/info,Chinese,2.6,250
Shahi Sweets,"Mithai, Street Food, Desserts",https://www.zomato.com/gwalior/shahi-sweets-1-city-center/info,Mithai,,400
Jain's Sita Rasoi,"North Indian, Chinese, Fast Food",https://www.zomato.com/gwalior/jains-sita-rasoi-morar/info,North Indian,3.3,450
Waffles Pizza Company,"Fast Food, Pizza, Desserts",https://www.zomato.com/gwalior/waffles-pizza-company-lashkar/info,Fast Food,2.8,400
Nescafe,"Cafe, Pizza, Burger, Pasta, Sandwich, Fast Food, Shake, Beverages",https://www.zomato.com/gwalior/nescafe-morar/info,Cafe,,500
Cakes And Cravings,"Bakery, Desserts, Street Food, Fast Food",https://www.zomato.com/gwalior/cakes-and-cravings-mahalgaon/info,Bakery,,300
