name,location,locality,city,cuisine,rating,votes,cost,main_cuisine
The Whisky Bar & Brewpub,"Sector 29, Gurgaon",Gurgaon,Gurgaon,"Finger Food,  North Indian,  Italian,  Chinese,  Continental,  Fast Food",4.2,113,2500,Finger Food
Fabcafe by Fabindia,"Sector 29, Gurgaon",Gurgaon,Gurgaon,"Health Food,  Modern Indian,  North Indian,  Continental",4.4,31,1200,Health Food
Chef's On Fire,"Sector 21C, Faridabad",Faridabad,Noida,"Fast Food,  Shakes",4.5,2,600,Fast Food
Tama Brewery & World Kitchen,"Sector 16, Faridabad",Faridabad,Noida,"Finger Food,  North Indian,  Italian,  Oriental",4.2,401,2200,Finger Food
Mystery Of Bar,"Sector 29, Gurgaon",Gurgaon,Gurgaon,"Italian,  Chinese,  North Indian,  Continental,  Asian",3.6,23,1500,Italian
Ladera,"Clarens Hotel,Sector 29, Gurgaon",Gurgaon,Gurgaon,"Multi-Cuisine,  Italian,  Continental,  Mediterranean,  Greek",4.6,27,4000,Multi-Cuisine
Veranda,"Park Plaza Faridabad,Sector 21C, Faridabad",Faridabad,Noida,"North Indian,  Continental,  Asian",4.1,97,3000,North Indian
Gung The Palace,"Sector 29, Gurgaon",Gurgaon,Gurgaon,"Korean,  Seafood",4.4,21,2500,Korean
Berco's,"Central Plaza Mall,Golf Course Road, Gurgaon",Gurgaon,Gurgaon,"Chinese,  Thai",4.1,277,1300,Chinese
Sagar Ratna,"Sector 135, Noida",Noida,Noida,"South Indian,  North Indian,  Chinese",3.8,4,900,South Indian
Raise The Bar- Rooftop Lounge,"Clarens Hotel,Sector 29, Gurgaon",Gurgaon,Gurgaon,"Italian,  Continental,  European",4.4,121,3300,Italian
Spice It,"Ibis Hotel,Sector 53, Gurgaon",Gurgaon,Gurgaon,"North Indian,  Chinese,  Fast Food",3.9,64,1500,North Indian
The Piano Man,"32nd Avenue,Sector 15, Gurgaon",Gurgaon,Gurgaon,"European,  Asian",3.9,65,1500,European
Chaayos,"Central Plaza Mall,Golf Course Road, Gurgaon",Gurgaon,Gurgaon,"Street Food,  Tea,  Fast Food",4.3,23,500,Street Food
Cafe G,"Crowne Plaza Gurgaon,Sector 29, Gurgaon",Gurgaon,Gurgaon,"Multi-Cuisine,  Italian,  Chinese,  Continental,  European,  Fast Food,  Indian Cuisine",4.2,108,4500,Multi-Cuisine
Kathi Cartel,"Super Mart 1,DLF Phase - 4, Gurgaon",Gurgaon,Gurgaon,"Fast Food,  North Indian,  Lebanese",2.0,4,700,Fast Food
Sandhouse Cafe,"32nd Avenue,Sector 15, Gurgaon",Gurgaon,Gurgaon,"Italian,  American",4.4,203,1000,Italian
The Brew Bar,"Radisson Gurugram Udyog Vihar,Udyog Vihar, Gurgaon",Gurgaon,Gurgaon,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental",4.2,4,2200,Multi-Cuisine
The Burger Club,"Sector 14, Gurgaon",Gurgaon,Gurgaon,"Burger,  Fast Food",5.0,1,600,Burger
Daddy of Tastes,"Sector 29, Gurgaon",Gurgaon,Gurgaon,"North Indian,  Chinese,  Continental",3.1,11,1300,North Indian
RYU BAR,"32nd Avenue,Sector 15, Gurgaon",Gurgaon,Gurgaon,"Chinese,  Thai,  Asian,  Finger Food,  Desserts",4.0,73,2000,Chinese
Bottles and Barrels,"Star Tower,Sector 30, Gurgaon",Gurgaon,Gurgaon,"Asian,  Multi-Cuisine,  North Indian,  Italian",3.6,123,1800,Asian
Mogli's Coffee,"Sector 67, Gurgaon",Gurgaon,Gurgaon,"Italian,  Continental,  American,  Fast Food,  Desserts",5.0,1,800,Italian
Chaayos,"Sector 14, Gurgaon",Gurgaon,Gurgaon,"Street Food,  Tea,  Fast Food",4.4,4,500,Street Food
"Unlocked - Bar, Kitchen and Escape Room","32nd Avenue,Sector 15, Gurgaon",Gurgaon,Gurgaon,"Italian,  Continental,  Shakes",4.2,113,1900,Italian
CAD (ctrl+alt+del) Tech Bar,"32nd Avenue,Sector 15, Gurgaon",Gurgaon,Gurgaon,"Modern Indian,  North Indian,  Italian,  Oriental",4.2,159,2200,Modern Indian
Catalyst Gastrobar,"Sector 16, Faridabad",Faridabad,Noida,"Multi-Cuisine,  North Indian,  Italian,  European,  Oriental",4.1,149,1000,Multi-Cuisine
TNG Restaurant,"Kavi Nagar, Ghaziabad",Ghaziabad,Ghaziabad,"North Indian,  Chinese",4.6,6,1200,North Indian
Jamie's Pizzeria By Jamie Oliver,"Ardee Mall,Ardee City, Gurgaon",Gurgaon,Gurgaon,"Italian,  Pizza",4.4,42,2000,Italian
Taco Bell,"Ardee Mall,Ardee City, Gurgaon",Gurgaon,Gurgaon,"Mexican,  Tex Mex,  Tex Mex",4.2,32,500,Mexican
The Sky Patio,"81 High Street,Sector 81, Faridabad",Faridabad,Noida,"North Indian,  Italian,  Chinese",4.3,260,1300,North Indian
Pintxo - Tapas Bar,"32nd Avenue,Sector 15, Gurgaon",Gurgaon,Gurgaon,"Spanish,  Italian",4.2,82,2500,Spanish
Bizibean,"DLF Star Mall,Sector 30, Gurgaon",Gurgaon,Gurgaon,"Fast Food,  Coffee,  Tea",5.0,1,500,Fast Food
Sparsa Cafe,"Star Tower,Sector 30, Gurgaon",Gurgaon,Gurgaon,"Italian,  Fast Food",5.0,2,500,Italian
Cafe Delhi Heights,"Good Earth City Centre Mall,Sector 50, Gurgaon",Gurgaon,Gurgaon,"Modern Indian,  Italian,  Continental,  American",4.5,198,2000,Modern Indian
Krispy Kreme,"Ardee Mall,Ardee City, Gurgaon",Gurgaon,Gurgaon,"Desserts,  Doughnuts",4.1,20,400,Desserts
Brewocrat - Brewery Skybar & Kitchen,"Elements One Mall,Sector 49, Gurgaon",Gurgaon,Gurgaon,"Multi-Cuisine,  North Indian,  Continental,  Mediterranean,  Asian,  Oriental ,  Finger Food",4.5,550,2000,Multi-Cuisine
Rule The Rolls,"32nd Avenue,Sector 15, Gurgaon",Gurgaon,Gurgaon,Fast Food,4.5,2,800,Fast Food
Chaayos,"Ardee Mall,Ardee City, Gurgaon",Gurgaon,Gurgaon,"Street Food,  Tea,  Fast Food",3.3,4,500,Street Food
The Groove,"Sector 15, Gurgaon",Gurgaon,Gurgaon,"European,  Asian,  American",4.3,6,1700,European
Barbeque 29,"NIT, Faridabad",Faridabad,Noida,"North Indian,  Chinese,  Barbecue",4.3,169,1500,North Indian
Bollywood Tadka,"Sector 31, Gurgaon",Gurgaon,Gurgaon,"North Indian,  Chinese,  Mughlai,  Fast Food",5.0,1,800,North Indian
Backbenchers HQ by Cafetieres,"Sector 16, Faridabad",Faridabad,Noida,"Multi-Cuisine,  North Indian,  Italian,  Oriental",4.2,115,1500,Multi-Cuisine
Pepper Pot - The Terrace Cafe,"Sector 56, Gurgaon",Gurgaon,Gurgaon,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Fast Food",4.0,53,1000,Multi-Cuisine
Mughal-Fe by Crepe-Fe,"Ardee City, Gurgaon",Gurgaon,Gurgaon,"North Indian,  Mughlai",5.0,1,900,North Indian
La Vera Pizzeria,"Sector 31, Gurgaon",Gurgaon,Gurgaon,Pizza,4.1,12,800,Pizza
Barbeque Nation,"EF3 Mall,Sector 20, Faridabad",Faridabad,Noida,"North Indian,  Barbecue,  Mughlai",4.5,162,1700,North Indian
Heritage - The Fine Dine,"Sector 15, Gurgaon",Gurgaon,Gurgaon,"North Indian,  Chinese",4.3,80,1500,North Indian
Punjab Street,"NIT, Faridabad",Faridabad,Noida,North Indian,4.5,16,900,North Indian
Brew-Berry,"NIT, Faridabad",Faridabad,Noida,"Fast Food,  Burger",4.7,9,600,Fast Food
Chapter Twelve,"Sector 12, Faridabad",Faridabad,Noida,"North Indian,  Continental,  Asian,  Multi-Cuisine",4.2,244,2400,North Indian
Stormborn,"Sector 16, Faridabad",Faridabad,Noida,"Fast Food,  Pizza,  Italian",4.3,3,1600,Fast Food
Zosse,"Crown Plaza Mall,Sector 15A, Faridabad",Faridabad,Noida,"North Indian,  Chinese,  Fast Food",4.5,29,2500,North Indian
Fiery Grillss,"Crown Plaza Mall,Sector 15A, Faridabad",Faridabad,Noida,"North Indian,  Chinese,  Continental,  Mughlai",4.4,42,1200,North Indian
Mosaic,"Crowne Plaza Greater Noida,Surajpur, NCR Greater Noida",NCR Greater Noida,Noida,"Continental,  North Indian",4.3,73,3000,Continental
ABC Biryani Wala,"NIT, Faridabad",Faridabad,Noida,Biryani,5.0,1,300,Biryani
Cafe Parmesan,"Sector 15, Faridabad",Faridabad,Noida,"Italian,  Pizza",4.5,121,1500,Italian
Oriental Fusion,"DLF Phase - 4, Gurgaon",Gurgaon,Gurgaon,"Oriental ,  Chinese,  Thai",4.6,38,1000,Oriental
Tap House Brewpub and Kitchen,"Good Earth City Centre Mall,Sector 50, Gurgaon",Gurgaon,Gurgaon,"North Indian,  Italian,  Chinese",4.0,109,1900,North Indian
Ambarsari Chowk,"Baani Square,Sector 50, Gurgaon",Gurgaon,Gurgaon,"North Indian,  Mughlai",4.2,119,1500,North Indian
Fat Butterfly Bakery And Cafe,"Baani Square,Sector 50, Gurgaon",Gurgaon,Gurgaon,"Italian,  Desserts,  Fast Food",4.5,45,1000,Italian
Oriental Fusion,"Baani Square,Sector 50, Gurgaon",Gurgaon,Gurgaon,"Oriental ,  Chinese,  Thai",4.3,28,1000,Oriental
Coastal Reef,"Baani Square,Sector 50, Gurgaon",Gurgaon,Gurgaon,"South Indian,  Andhra,  Kerala,  Seafood",4.3,84,1200,South Indian
Cafe Grub Up,"Sector 15, Faridabad",Faridabad,Noida,"Fast Food,  Italian,  Chinese,  Thai,  Mexican,  American",4.0,32,600,Fast Food
Mr Ohashi,"Sector 14, Faridabad",Faridabad,Noida,Asian,5.0,2,1200,Asian
Pop's Barbacoa,"Sohna Road, Gurgaon",Gurgaon,Gurgaon,"North Indian,  Continental,  Chinese,  Mexican,  Oriental",4.5,162,1500,North Indian
